Oven,Solution,Yield
Convection,Potassium chloride,64.3
Convection,Potassium chloride,70
Convection,Potassium chloride,67.6
Convection,Sodium chloride,81.4
Convection,Sodium chloride,77.9
Convection,Sodium chloride,83.3
Convection,Water,71.9
Convection,Water,77.7
Convection,Water,73.9
Microwave,Potassium chloride,35.6
Microwave,Potassium chloride,44.6
Microwave,Potassium chloride,40.7
Microwave,Sodium chloride,73.5
Microwave,Sodium chloride,64.3
Microwave,Sodium chloride,67.4
Microwave,Water,49.6
Microwave,Water,45.4
Microwave,Water,53.9
Standard,Potassium chloride,75
Standard,Potassium chloride,76.6
Standard,Potassium chloride,69
Standard,Sodium chloride,86.2
Standard,Sodium chloride,82.1
Standard,Sodium chloride,92
Standard,Water,72.7
Standard,Water,76.9
Standard,Water,81.5
